C_CUSTKEY	C_NAME	C_ADDRESS	C_NATIONKEY	C_PHONE	C_ACCTBAL	C_MKTSEGMENT	C_COMMENT
1	Customer#000000001	IVhzIApeRb ot,c,E	15	25-989-741-2988	711.56	BUILDING  	regular, regular platelets are fluffily according to the even attainments. blithely iron
2	Customer#000000002	XSTf4,NCwDVaWNe6tEgvwfmRchLXak	13	23-768-687-3665	121.65	AUTOMOBILE	furiously special deposits solve slyly. furiously even foxes wake alongside of the furiously ironic ideas. pending
3	Customer#000000003	MG9kdTD2WBHm	1	11-719-748-3364	7498.12	AUTOMOBILE	special packages wake. slyly reg
4	Customer#000000004	XxVSJsLAGtn	4	14-128-190-5944	2866.83	MACHINERY 	slyly final accounts sublate carefully. slyly ironic asymptotes nod across the quickly regular pack
5	Customer#000000005	KvpyuHCplrB84WgAiGV6sYpZq7Tj	3	13-750-942-6364	794.47	HOUSEHOLD 	blithely final instructions haggle; stealthy sauternes nod; carefully regu
6	Customer#000000006	sKZz0CsnMD7mp4Xd0YrBvx,LREYKUWAh yVn	20	30-114-968-4951	7638.57	AUTOMOBILE	special deposits wake along the ironic foxes. slyly regular deposits are furiously about the blith
7	Customer#000000007	TcGe5gaZNgVePxU5kRrvXBfkasDTea	18	28-190-982-9759	9561.95	AUTOMOBILE	theodolites kindle carefully carefully regular deposits. regular depe
8	Customer#000000008	I0B10bB0AymmC, 0PrRYBCP1yGJ8xcBPmWhl5	17	27-147-574-9335	6819.74	BUILDING  	ironic deposits are quickly after the gifts. regular dependencies hinder slyly after the quickly ex
9	Customer#000000009	xKiAFTjUsCuxfeleNqefumTrjS	8	18-338-906-3675	8324.07	FURNITURE 	deposits affix fluffily. blithely final ideas are furiously dolphins. i
10	Customer#000000010	6LrEaV6KR6PLVcgl2ArL Q3rqzLzcT1 v2	5	15-741-346-9870	2753.54	HOUSEHOLD 	bold, final frays sleep carefully special ideas. carefully final asymptotes sleep furiously against the even i
11	Customer#000000011	PkWS 3HlXqwTuzrKg633BEi	23	33-464-151-3439	-272.6	BUILDING  	furiously express packages are. regular courts play deposits. silent, ironic packages engage. furiously regular a
12	Customer#000000012	9PWKuhzT4Zr1Q	13	23-791-276-1263	3396.49	HOUSEHOLD 	deposits are accounts: fluffily even dependencies haggle fluffily slyly regular requests. theodolit
13	Customer#000000013	nsXQu0oVjD7PM659uC3SRSp	3	13-761-547-5974	3857.34	BUILDING  	ironic dependencies according to the slyly even ideas wake idl
14	Customer#000000014	KXkletMlL2JQEA 	1	11-845-129-3851	5266.3	FURNITURE 	never regular pinto beans boost bl
15	Customer#000000015	YtWggXoOLdwdo7b0y,BZaGUQMLJMX1Y,EC,6Dn	23	33-687-542-7601	2788.52	HOUSEHOLD 	fluffily bold dolphins detect quickly about the special instruction
16	Customer#000000016	cYiaeMLZSMAOQ2 d0W,	10	20-781-609-3107	4681.03	FURNITURE 	deposits nod. blithely unusual
17	Customer#000000017	izrh 6jdqtp2eqdtbkswDD8SG4SzXruMfIXyR7	2	12-970-682-3487	6.34	AUTOMOBILE	packages nod quickly quickly ironic deposits. furiously unusual dependenci
18	Customer#000000018	3txGO AiuFux3zT0Z9NYaFRnZt	6	16-155-215-1315	5494.43	BUILDING  	furiously even frays among the fluffily furious epitaphs haggle slyly about the ironic theodolites. iro
19	Customer#000000019	uc,3bHIx84H,wdrmLOjVsiqXCq2tr	18	28-396-526-5053	8914.71	HOUSEHOLD 	blithely express foxes after the stealthy deposits wake slyly even excuses. packages cajole
20	Customer#000000020	JrPk8Pqplj4Ne	22	32-957-234-8742	7603.4	FURNITURE 	regular dependencies serve blithely stealthy dugouts. express deposits kindle never 
